column_name,rows_total,rows_null,pct_null,cardinality,min_val,max_val,avg_len,pattern_top,pct_top
"order_id",112650,0,0,98666,"00010242fe8c5a6d1ba2dd792cb16214","fffe41c64501cc87c801fd61db3f6244",32,"9999a99a99a9a99a99a9a9999aaa99aa",0.02
"order_item_id",112650,0,0,21,"1","9",1,"9",99.92
"product_id",112650,0,0,32951,"00066f42aeeb9f3007548bb9d3f33c38","fffe9eeff12fcbd74a2f2b007dde0c58",32,"aaa9aa9a99aa9a9a9aaa9a99999999aa",0.47
"seller_id",112650,0,0,3095,"0015a82c2db000af6aaaf3ae2ecb0532","ffff564a4f9085cd26170f4732393726",32,"9999999a99a99999a9999aa99a9a99a9",1.8
"shipping_limit_date",112650,0,0,93318,"2016-09-19 00:15:34","2020-04-09 22:35:08",19,"9999-99-99 99:99:99",100
"price",112650,0,0,5968,"0.85","999.99",5.36,"99.99",63.01
"freight_value",112650,0,0,6999,"0.00","99.97",4.87,"99.99",85.34
