column_name,rows_total,rows_null,pct_null,cardinality,min_val,max_val,avg_len,pattern_top,pct_top
"order_id",103886,0,0,99440,"00010242fe8c5a6d1ba2dd792cb16214","fffe41c64501cc87c801fd61db3f6244",32,"aa99aaa9a9a999a9aaa9aa9a99999999",0.03
"payment_sequential",103886,0,0,29,"1","9",1,"9",99.85
"payment_type",103886,0,0,5,"boleto","voucher",9.81,"aaaaaa_aaaa",73.92
"payment_installments",103886,0,0,24,"0","9",1.05,"9",94.54
"payment_value",103886,0,0,29077,"0.00","999.68",5.5,"999.99",48.98
